sku,order_count,weighted_order_count,degree,weighted_degree
000826-24-TR,1,0.02917894821759449,0,0.0
000833-24-BU,1,0.03075761711315822,0,0.0
000833-24-FX,1,0.034015355133765995,0,0.0
000840-24-BU,1,0.028034320193367157,0,0.0
001014-24-BO,1,0.03349949663902523,5,4.4058167761095275
001014-BO,1,0.00195771496131106,2,2.0
001014-BU,1,0.00195771496131106,2,2.0
001267-BU,1,0.0019435479221830824,0,0.0
001304-PG,1,0.002071760040133397,1,1.0
001530,1,0.0005251435146500801,2,0.7180837574002492
0021729,1,0.0009155422917771095,0,0.0
0021780,8,0.07918193475609794,8,2.583043813652302
0040387,1,0.8898177252884524,0,0.0
0042608,1,0.0004505220900392511,0,0.0
005041,1,0.029736107816674195,3,3.0
005820-P,1,0.0002806010042537622,3,1.0431357763247582
007.689J,2,0.25467065071681705,0,0.0
0072642,1,0.08621446139343453,7,6.153497798208338
008.6651,1,0.0002880620059947075,0,0.0
008.8357,2,0.0009072904789814954,7,4.188169549657223
0088922,2,1.8123477701598996,0,0.0
0088931,1,0.6808901134823816,0,0.0
0088932,1,0.7080411679998985,0,0.0
0114439,2,0.0005189261369446193,5,3.0942971641835477
012234000,3,0.006527470343472771,8,1.6994730369604456
013232,3,0.04451649420718351,0,0.0
014521,7,0.35907569883080853,1,0.23240064336699115
015255-24-BU,1,0.06576685304769617,0,0.0
015255-24-GN,1,0.030003854677361063,1,0.5177246738351966
016367,1,0.00011354065703112624,0,0.0
01922-GD,1,0.08806382138914978,1,0.5229361159149563
01936,4,0.4361227342571582,1,0.01965425661103705
01959WD,4,0.000580382456494449,0,0.0
02-3660BLA,1,0.496928642196187,5,4.131289065126346
02822-BK,1,0.5014608368502225,2,2.0
02822-RE,1,0.5014608368502225,2,2.0
02822-YE,1,0.5014608368502225,2,2.0
02852,1,0.0001539895190553684,0,0.0
03123-MV,1,0.1390059027568159,0,0.0
03123-WH,2,1.075934759788829,10,8.583946259379347
03239,4,0.00919348840697834,10,3.3978811074862394
03256,1,0.7414750410503805,0,0.0
04-182103,1,0.00018445090668905585,0,0.0
04-2026-1NT,6,0.0017207284782706864,0,0.0
04-2026-1RD,4,0.0009541250211838527,0,0.0
04-2026-1SC,5,0.0018545378665984695,10,3.5689914282760564
04-22750,4,0.002517094037680307,6,0.7525653019034761
04-58104,1,0.0036881595007582325,0,0.0
04-DR-3,10,0.0035718483124550387,7,1.045841916664681
04-DR-4T,3,0.0002788698636588063,1,0.5289325877010514
04-DS-2,2,0.0001804446118482965,1,0.41851956730343726
04-ST104-1,2,0.0010024322375098238,1,0.2769155025142008
04-TH7-2B,1,0.000965890845217593,0,0.0
04-TH7-2R,2,0.00045916976287336544,0,0.0
04-TH8-4,2,0.09613867580922471,0,0.0
04-TH8-5,3,0.009023129700073358,0,0.0
04-UKU,1,7.112711550957494e-05,0,0.0
04-UKU-02BL,17,0.011214155191882078,7,0.7240638263919411
04-UKU-02PK,12,0.02237260114104348,8,1.5340282566913952
04-UKU-02RD,18,0.014980975530918029,4,0.5023738904547528
04412-GN,1,0.05823633401703041,3,3.0
04412-MV,1,0.05823633401703041,3,3.0
04412-RE,1,0.05823633401703041,3,3.0
04412-TR,1,0.05823633401703041,3,3.0
04620,2,0.5329200031487479,0,0.0
0480905,1,0.0015055465882183431,2,1.5046803547097407
0481201,2,0.002372113409017427,3,1.2809568190227412
0482493,4,0.3138893930008645,6,0.8526240356750326
0482510,1,0.025526366185097633,2,1.3433093630980308
0482625,1,0.009416886559044218,0,0.0
0482660,1,0.050954531797245316,2,1.8626109175200036
0482667,1,0.005215090267490455,1,0.41212907796341175
0482668,1,0.10698174417820452,0,0.0
0482683,1,0.014911319268865096,2,1.3459199028006887
0484105,2,0.002465891436515804,8,3.9014403928435963
0484151,1,0.005197998158930538,0,0.0
0484181-B,3,0.0016357484211652405,1,0.2958531004764532
0484181-PB,2,0.0009894339312547244,1,0.3549323345626526
0484184,3,0.0017114933661009106,21,7.86163398751157
0484196,4,0.7215121231908053,5,0.6670852438025197
0484208-BU,4,0.017880405339245165,2,0.20823368679197812
0484208-GN,3,0.01455654265467241,5,2.0992804660042275
0484209,1,0.005509464116030321,2,0.6890085288866452
0484230,1,0.005970601711431973,3,1.8868080410707815
049.41788,4,0.13762576869373844,6,0.5153428578313405
05-045,1,0.26365744383149053,8,6.517405794394668
05-07427,1,0.00046138137761285816,0,0.0
05-07465,1,0.655773894160953,1,0.7181033392022381
05-08040,1,0.00018773493198889443,0,0.0
05-10052,1,0.4734156291448729,0,0.0
05-11844,1,0.00012522069119028884,0,0.0
05-12336,3,0.0011503949996998493,2,1.3206282961432014
05-12516,1,0.0004974058273550317,2,2.0
05-12523,1,0.00012260198279363403,0,0.0
05-12993,2,0.18824134175467544,1,0.7918601845088244
05-13338,1,0.12285307132410676,0,0.0
05-13348,1,0.12289808900483809,5,4.312175814431994
05-15018,1,0.00021479802291826748,0,0.0
05-15025,1,0.0001825973237610395,0,0.0
05-15026,2,0.8095943189722109,0,0.0
05-15103,1,0.0001961033091186962,0,0.0
05-15252,1,0.0001902668120986793,0,0.0
05-15587,2,0.00034360033960723025,0,0.0
05-15614,2,0.0006964237470955949,0,0.0
05-15743,2,0.00040272377149370634,0,0.0
05-15758,1,0.00017125554056981646,0,0.0
05-15805,1,0.0001751976534653806,0,0.0
05-16003,3,0.0005745683268319026,0,0.0
05-16207,1,0.0002174947573392089,0,0.0
05-16290,2,0.00029126858200952425,0,0.0
05-16300,1,5.838222004191114e-05,0,0.0
05-16451,2,0.0003887111817908295,0,0.0
05-16463,1,0.000171016631167994,0,0.0
05-16520,2,0.22327427196464816,0,0.0
05-16690,1,0.000189693208682061,0,0.0
05-20774,1,0.00012770242275288995,0,0.0
05-21135,2,0.0006315795838671398,0,0.0
05-21436,1,0.00042449249156351103,3,1.9087824464828085
05-22314,1,0.00018469557731762328,0,0.0
05-22367,1,0.12160628446092066,0,0.0
05-24394,1,0.029736107816674195,3,3.0
05-27088,2,0.25643844508977726,2,1.202152072815782
0500944,3,0.007225224705537242,1,0.09924688282675165
0500945,4,0.024660415420084295,2,0.23347139083363747
0500981,1,0.0052713708544955195,0,0.0
0500991,3,0.036183559256406525,1,0.3843830716000963
0504030,1,0.005191896309323045,0,0.0
0506-BU,1,0.012612253726343154,5,3.7056903323234613
0506007,1,0.005173358484225171,4,3.2311251801612446
0506017,2,0.04041431130630867,0,0.0
0506053,1,0.012318803804361657,8,5.943213527842432
0506054,1,0.004997667704028993,3,1.9256424516147288
0506058,5,2.2510134616023207,0,0.0
0506067,1,0.007639949028646705,1,0.05770008917355362
0508024,1,0.004992396193978191,0,0.0
0508042,1,0.007223937381985365,0,0.0
0508045,3,0.8476529326444227,3,0.8915988029408517
0508064,1,0.051157180517942435,2,0.7529464686296901
0508131,2,0.06450246488979475,0,0.0
0508244,3,0.603917452319896,2,0.37975888053440093
0508447,3,1.9642332411980026,1,0.4826933431886196
0510908,1,0.08350935330558563,0,0.0
0560384,2,1.301278765848496,14,9.041481594845758
0561051,1,0.0003455740740778355,0,0.0
0561498,1,0.020733508728663596,0,0.0
0561597,1,0.013445711010222022,0,0.0
0562041,3,0.1690172656831327,8,1.4523504608291211
0562081,3,0.1407597927485072,16,6.480371110385523
0562379,2,0.010881694238068514,13,3.9465782156633873
