base_sku,recommended_sku,adamic_adar_score,common_neighbors,Product Name,Κατηγορίες προϊόντων,Μάρκες,Προϊόν Ηλικία,Προϊόν Ήρωας,Προϊόν Φύλλο,sex_p,hero_p,age_p
IT16951,54886,1.4426950408889634,1,ΑΥΤΟΚΙΝΗΤΑΚΙΑ HOT WHEELS ΣΕΤ ΤΩΝ 10,"Αυτοκινητάκια - Μοτό - Τρενάκια>HOT WHEELS,Αυτοκινητάκια - Μοτό - Τρενάκια>Μεταλλικά οχήματα",MATTEL,από 3 ετών,Hot Wheels,Αγόρι,Αγόρι,Hot Wheels,από 3 ετών
IT16951,0621720,1.23375467977551,2,Σετ Πλυντήριο Ρούχων Luna,Παιχνίδια Ρόλων - Μίμησης>Κουζινικά παιχνίδια,Luna,από 3 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 3 ετών
IT16951,43574,0.9677157328092991,3,PELIKAN μολύβια HB Χ12 τεμ.,Σχολικά>Γραφική ύλη>Μολύβια,PELIKAN,από 3 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 3 ετών
IT16951,741038,0.9102392266268373,1,Πλαστικά ψαράκια (4 τεμ.),Βρεφικά Παιχνίδια>ΒΡΕΦΙΚΑ ΠΑΙΧΝΙΔΙΑ (6 μηνών+),ToyMarkt,από νεογέννητο,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από νεογέννητο
IT16951,MAP907003,0.9102392266268373,1,ΣΕΤ ΖΩΓΡΑΦΙΚΗΣ 100 ΤΜΧ,Σχολικά>Ζωγραφική>Σετ ζωγραφικής,MAPED,από 4 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 4 ετών
IT16951,IT9002,0.8080757371781798,2,Μικρόφωνο Karaoke Bluetooth Ροζ-Χρυσό,"Πολυμέσα - Games>Μικρόφωνα,Παιχνίδια Ρόλων - Μίμησης>Μουσικά όργανα",Iso Trade,από 4 ετών,Unknown,Κορίτσι,Κορίτσι,Unknown,από 4 ετών
IT16951,DTTT53145A,0.7740486022172197,2,MUSIC ARTIST Ασύρματες Μπαγκέτες με ήχο ντραμς και φώτα,Παιχνίδια Ρόλων - Μίμησης>Μουσικά όργανα,Toi-Toys,από 3 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 3 ετών
IT16951,4-06409,0.7213475204444817,1,TV Remote Control για Μωρά με ήχους και φως,Βρεφικά Παιχνίδια>ΒΡΕΦΙΚΑ ΠΑΙΧΝΙΔΙΑ (6 μηνών+),MILA BABY,από 1 έτους,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 1 έτους
IT16951,FBP42,0.7213475204444817,1,Εκπαιδευτικό Μικρόφωνο,Βρεφικά Παιχνίδια>ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ 6-36 μηνών,FISHER PRICE,από 1 έτους,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 1 έτους
IT16951,HWH13,0.7213475204444817,1,Εκπαιδευτικός Κύβος Δραστηριοτήτων,Βρεφικά Παιχνίδια>ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ 6-36 μηνών,FISHER PRICE,από 1 έτους,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 1 έτους
