cart_skus,recommended_sku,knn_score,adamic_adar_score,recommendation_score,Product Name,Κατηγορίες προϊόντων,Μάρκες,Προϊόν Ηλικία,Προϊόν Ήρωας,Προϊόν Φύλλο,sex_p,hero_p,age_p
IT16951 | IT16952,IT22272,1.0,0.0,0.75,Φορητός Εκτυπωτής Φωτογραφιών Bluetooth,"Δημιουργική απασχόληση>Επιστημονικά - εκπαιδευτικά,Πολυμέσα - Games>Φωτογραφικές μηχανές",Izoxis,από 6 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 6 ετών
IT16951 | IT16952,IT09430,0.8584753895970144,0.17532362968093024,0.6876874496179933,Ξύλινα μαγνητικά XXL φρούτα και λαχανικά σε τελάρο 34 τεμ.,Παιχνίδια Ρόλων - Μίμησης>Κουζινικά παιχνίδια,Iso Trade,από 3 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 3 ετών
IT16951 | IT16952,IT14104,0.766304845656122,0.3090543354510313,0.6519922181048493,Σετ 40 Μαρκαδόροι Ζωγραφικής με Διπλή Μύτη,Σχολικά>Ζωγραφική>Μαρκαδόροι ζωγραφικής,MAALEO,από 3 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 3 ετών
IT16951 | IT16952,ΜΙΝ00037,0.8525363754308373,0.0,0.639402281573128,"Με χρώματα νέον, Μαγευτικοί μονόκεροι",ΒΙΒΛΙΑ>Βιβλία ζωγραφικής,Unknown,από 3 ετών,Unknown,Κορίτσι,Κορίτσι,Unknown,από 3 ετών
IT16951 | IT16952,IT17489,0.7983243260915309,0.0,0.5987432445686482,Παιδική Σκηνή - Σπιτάκι με Φώτα 130x90 εκ.,Παιδικό δωμάτιο>Σκηνές παιδικές - σπιτάκια,Iso Trade,από 2 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 2 ετών
IT16951 | IT16952,KON740958,0.7957784130485077,0.0,0.5968338097863808,Yu-Gi-Oh! Speed Duel Ultimate Predators Starter Deck,Επιτραπέζια>Trading Card Game,KONAMI,από 6 ετών,Yu-Gi-Oh!,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Yu-Gi-Oh!,από 6 ετών
IT16951 | IT16952,35/772,0.7900151506139454,0.0,0.592511362960459,Μπάλα Ποδοσφαίρου ΠΑΝΑΘΗΝΑΪΚΟΣ S.5,Αθλητικά Παιχνίδια>Μπάλες δερμάτινες κλπ,TIGER BALL,από 6 ετών,Unknown,Αγόρι,Αγόρι,Unknown,από 6 ετών
IT16951 | IT16952,IT22653,0.7819120536156151,0.0,0.5864340402117113,Σκηνή Σπιτάκι - Ροζ Κάστρο Πριγκίπισσας με φώτα Led,Παιδικό δωμάτιο>Σκηνές παιδικές - σπιτάκια,Kruzzel,από 3 ετών,Unknown,Κορίτσι,Κορίτσι,Unknown,από 3 ετών
IT16951 | IT16952,GTN58-lampada,0.7769802440447289,0.0,0.5827351830335467,Barbie Ανθοπωλείο - Δώρο Λαμπάδα,"Λαμπάδες>Παιχνιδολαμπάδες>BARBIE,Κούκλες - Playset - Λούτρινα>BARBIE",MATTEL,από 3 ετών,BARBIE,Κορίτσι,Κορίτσι,BARBIE,από 3 ετών
IT16951 | IT16952,IT6104,0.7512457866134462,0.0,0.5634343399600846,Σκηνή - Πριγκιπικό Παλάτι ροζ 135x140 εκ.,Παιδικό δωμάτιο>Σκηνές παιδικές - σπιτάκια,Iso Trade,από 3 ετών,Unknown,Κορίτσι,Κορίτσι,Unknown,από 3 ετών
