itemset,length,count,support
IT16951,1,334,0.03433741132928961
IT22653,1,232,0.023851136013159246
IT22272,1,106,0.010897501799115862
IT09430,1,101,0.010383468695383983
IT16952,1,89,0.00914978924642747
IT90147,1,84,0.00863575614269559
IT11207,1,59,0.006065590624036188
IT6104,1,53,0.005448750899557931
UGD010069,1,51,0.00524313765806518
IT17489,1,41,0.004215071450601419
KON740958,1,40,0.004112264829855042
23-1907B,1,35,0.0035982317261231624
18/31801,1,33,0.00339261848463041
448.1.589256,1,33,0.00339261848463041
23-0103,1,30,0.003084198622391282
HCJ60,1,30,0.003084198622391282
IT8905,1,29,0.002981392001644906
IT9423,1,29,0.002981392001644906
18/51072-SX,1,28,0.00287858538089853
IT005071,1,28,0.00287858538089853
23-1907R,1,27,0.002775778760152154
KON746837mm,1,27,0.002775778760152154
HB-P1802,1,25,0.0025701655186594016
KON843864,1,25,0.0025701655186594016
DTJH27596,1,24,0.0024673588979130254
IT90927,1,24,0.0024673588979130254
KON848579-s,1,24,0.0024673588979130254
IT11403,1,23,0.0023645522771666497
KON840771,1,23,0.0023645522771666497
4-04148,1,22,0.0022617456564202735
IT6105,1,22,0.0022617456564202735
IT16951 | IT16952,2,21,0.0021589390356738973
KON165423,1,20,0.002056132414927521
KON548127,1,20,0.002056132414927521
KON746837tn,1,20,0.002056132414927521
