order_id,seed_sku,target_sku,held_out_basket_size
60136,KON184776,KON185032,2
60140,MS0502bw-01,30089,2
60142,18/31801,18/32202,2
60163,IT22653,NMZ0502vz-01U,2
60164,0622743,WF-0765-NL,3
60176,8550001PL-02,MS0504,2
60180,0564601,IT22653,2
60187,KON184776-D,KON185032,2
60202,DT48734-BR,IT22653,2
60218,819-23241,2941-PI,3
60225,0563181,MAP279215,6
60380,MAP936010,243-40060,2
60385,DT6315870350,71332DD-Mic,3
60440,267731,267724,2
60441,EN086245,IT22653,2
60492,OC05074,BW62003,2
60495,338172,COPY3,2
60677,18/31801,18/31802,2
60685,0563202,PAX30685,4
60712,FPV17,CL17223,2
60771,267724,267731,3
60794,HJK00,MS0502ry,2
60837,40570,105005568,2
60844,UHU11846,743633,4
