k,evaluated_orders,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,mean_candidate_cross_entropy,catalog_coverage_at_k,model,weight_copurchase,weight_product2vec,weight_adamic_adar,weight_metadata,random_seed,training_start,training_end,evaluation_start,evaluation_end,training_statuses,graph_weighting,edge_threshold,half_life_months,product2vec_config,blend_weights,metadata_weights,evaluation_k
10.0,76.0,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.1599206349206349,13.909939108895099,0.10715030227225349,heterogeneous_weight_candidate,0.0,0.3,0.4,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""random_state"": 42, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.4, ""copurchase"": 0.0, ""metadata"": 0.3, ""product2vec"": 0.3}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02894736842105263,0.2894736842105263,0.2894736842105263,0.18475877192982457,15.108567258826081,0.1111111111111111,heterogeneous_weight_candidate,0.0,0.4,0.3,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""random_state"": 42, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.3, ""copurchase"": 0.0, ""metadata"": 0.3, ""product2vec"": 0.4}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.1625,16.040467647796326,0.10944340212632896,heterogeneous_weight_candidate,0.0,0.4,0.4,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""random_state"": 42, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.4, ""copurchase"": 0.0, ""metadata"": 0.2, ""product2vec"": 0.4}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.030263157894736843,0.3026315789473684,0.3026315789473684,0.19780701754385965,16.30858850948344,0.11090264748801335,heterogeneous_weight_candidate,0.0,0.5,0.2,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""random_state"": 42, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.2, ""copurchase"": 0.0, ""metadata"": 0.3, ""product2vec"": 0.5}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.17521929824561402,16.03213907156556,0.10986032937252449,heterogeneous_weight_candidate,0.0,0.5,0.3,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""random_state"": 42, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.3, ""copurchase"": 0.0, ""metadata"": 0.2, ""product2vec"": 0.5}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.1401315789473684,17.868532407320643,0.11069418386491557,heterogeneous_weight_candidate,0.0,0.5,0.4,0.1,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""random_state"": 42, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.4, ""copurchase"": 0.0, ""metadata"": 0.1, ""product2vec"": 0.5}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.21666666666666665,16.299587155209327,0.11069418386491557,heterogeneous_weight_candidate,0.0,0.6,0.1,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""random_state"": 42, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.1, ""copurchase"": 0.0, ""metadata"": 0.3, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.030263157894736843,0.3026315789473684,0.3026315789473684,0.18640350877192982,17.533839448412223,0.11069418386491557,heterogeneous_weight_candidate,0.0,0.6,0.2,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""random_state"": 42, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.2, ""copurchase"": 0.0, ""metadata"": 0.2, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02631578947368421,0.2631578947368421,0.2631578947368421,0.15869883040935673,18.464851246316133,0.10986032937252449,heterogeneous_weight_candidate,0.0,0.6,0.3,0.1,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""random_state"": 42, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.3, ""copurchase"": 0.0, ""metadata"": 0.1, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.10006787802840433,19.69804609495622,0.10986032937252449,heterogeneous_weight_candidate,0.0,0.6,0.4,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""random_state"": 42, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.4, ""copurchase"": 0.0, ""metadata"": 0.0, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.2364035087719298,16.591858302846884,0.11090264748801335,heterogeneous_weight_candidate,0.0,0.7,0.0,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""random_state"": 42, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.0, ""copurchase"": 0.0, ""metadata"": 0.3, ""product2vec"": 0.7}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
