k,evaluated_orders,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,mean_candidate_cross_entropy,catalog_coverage_at_k,model,weight_copurchase,weight_product2vec,weight_adamic_adar,random_seed,training_start,training_end,evaluation_start,evaluation_end,training_statuses,graph_weighting,edge_threshold,half_life_months,product2vec_config,blend_weights,metadata_weights,evaluation_k,trial,n_components,walk_length,walks_per_node,window_size,negative_samples,epochs,learning_rate,p,q
10.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.1985171261487051,19.572677550751845,0.0975609756097561,product2vec_candidate,0.4,0.6,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.0, ""copurchase"": 0.4, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10,1,48,8,2,3,2,2,0.05,1.0,1.0
10.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.1963032581453634,17.45059378580543,0.10089639357932041,product2vec_candidate,0.4,0.6,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 5, ""learning_rate"": 0.01, ""n_components"": 32, ""negative_samples"": 4, ""p"": 2.0, ""q"": 0.5, ""walk_length"": 16, ""walks_per_node"": 6, ""window_size"": 3}","{""adamic_adar"": 0.0, ""copurchase"": 0.4, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10,2,32,16,6,3,4,5,0.01,2.0,0.5
10.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.1927213868003342,18.05209521242154,0.09881175734834272,product2vec_candidate,0.4,0.6,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 5, ""learning_rate"": 0.05, ""n_components"": 32, ""negative_samples"": 6, ""p"": 1.0, ""q"": 0.5, ""walk_length"": 12, ""walks_per_node"": 8, ""window_size"": 4}","{""adamic_adar"": 0.0, ""copurchase"": 0.4, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10,3,32,12,8,4,6,5,0.05,1.0,0.5
10.0,76.0,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.18435672514619883,17.73522394533556,0.09943714821763602,product2vec_candidate,0.4,0.6,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 5, ""learning_rate"": 0.05, ""n_components"": 96, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 6, ""window_size"": 3}","{""adamic_adar"": 0.0, ""copurchase"": 0.4, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10,4,96,8,6,3,2,5,0.05,1.0,1.0
10.0,76.0,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.23157894736842108,18.97735216195316,0.09672712111736502,product2vec_candidate,0.4,0.6,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.025, ""n_components"": 96, ""negative_samples"": 2, ""p"": 2.0, ""q"": 0.5, ""walk_length"": 12, ""walks_per_node"": 4, ""window_size"": 3}","{""adamic_adar"": 0.0, ""copurchase"": 0.4, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10,5,96,12,4,3,2,2,0.025,2.0,0.5
10.0,76.0,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.18552631578947368,17.740941303573166,0.10068792995622264,product2vec_candidate,0.4,0.6,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 5, ""learning_rate"": 0.05, ""n_components"": 96, ""negative_samples"": 2, ""p"": 1.0, ""q"": 0.5, ""walk_length"": 16, ""walks_per_node"": 4, ""window_size"": 4}","{""adamic_adar"": 0.0, ""copurchase"": 0.4, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10,6,96,16,4,4,2,5,0.05,1.0,0.5
10.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.18223684210526317,18.342557170203406,0.10089639357932041,product2vec_candidate,0.4,0.6,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 5, ""learning_rate"": 0.01, ""n_components"": 96, ""negative_samples"": 6, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 8, ""window_size"": 4}","{""adamic_adar"": 0.0, ""copurchase"": 0.4, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10,7,96,8,8,4,6,5,0.01,1.0,1.0
10.0,76.0,0.030263157894736843,0.3026315789473684,0.3026315789473684,0.17916666666666664,19.25867662865313,0.10131332082551595,product2vec_candidate,0.4,0.6,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 5, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 6, ""p"": 2.0, ""q"": 1.0, ""walk_length"": 6, ""walks_per_node"": 6, ""window_size"": 2}","{""adamic_adar"": 0.0, ""copurchase"": 0.4, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10,8,48,6,6,2,6,5,0.05,2.0,1.0
10.0,76.0,0.02631578947368421,0.2631578947368421,0.2631578947368421,0.19378654970760234,19.32216520125158,0.09568480300187618,product2vec_candidate,0.4,0.6,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.025, ""n_components"": 96, ""negative_samples"": 4, ""p"": 2.0, ""q"": 0.5, ""walk_length"": 8, ""walks_per_node"": 4, ""window_size"": 5}","{""adamic_adar"": 0.0, ""copurchase"": 0.4, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10,9,96,8,4,5,4,2,0.025,2.0,0.5
10.0,76.0,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.18530701754385964,19.56638028170536,0.09735251198665833,product2vec_candidate,0.4,0.6,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.025, ""n_components"": 48, ""negative_samples"": 2, ""p"": 2.0, ""q"": 2.0, ""walk_length"": 6, ""walks_per_node"": 6, ""window_size"": 3}","{""adamic_adar"": 0.0, ""copurchase"": 0.4, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10,10,48,6,6,3,2,2,0.025,2.0,2.0
10.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.17786654135338342,20.246080216067877,0.09568480300187618,product2vec_candidate,0.4,0.6,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.01, ""n_components"": 48, ""negative_samples"": 6, ""p"": 2.0, ""q"": 2.0, ""walk_length"": 6, ""walks_per_node"": 8, ""window_size"": 4}","{""adamic_adar"": 0.0, ""copurchase"": 0.4, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10,11,48,6,8,4,6,2,0.01,2.0,2.0
