model,order_id,seed_sku,target_sku,held_out_basket_size,target_train_orders,popularity_segment,target_rank,hit_at_k,reciprocal_rank_at_k,target_in_candidates,target_in_retrieved_pool,retrieved_candidate_count,top_prediction,top_k_skus
fixed_40_10_10_40,52243,29.0376-ERROR,ΙΤ17253,2,1,rare,0,0,0.0,0,0,1269,29.0376a,29.0376a | IT06102 | FBM80 | LEG203667 | 29.0373 | 23-23138-L | 23-23138-S | 23-23138-F | DLK58 | Oo49109
fixed_40_10_10_40,52257,IT005071,FVF42,2,1,rare,0,0,0.0,0,0,1264,IT90789,IT90789 | 16-03459 | MAP861311 | 176-09518 | AV60787 | 176-06207 | MS0502bw-06 | NMZ0502vz-01U | 243-30074 | 0621466
fixed_40_10_10_40,52260,IT16951,IT16952,2,46,popular,1,1,1.0,1,1,1309,IT16952,IT16952 | IT11214 | EN087229 | IT8905 | 237.617073 | IT9003 | IT09430 | IT11207 | IT91164 | IT6105
fixed_40_10_10_40,52276,0562690,4M0138,2,1,rare,0,0,0.0,0,0,1310,0562564,0562564 | EN69751 | 0500944 | 0562563 | 0562689 | 0562688 | 0562692 | 0562745 | 0562743 | 0482625
fixed_40_10_10_40,52280,4-05461-03,4-05461-01,2,3,medium,3,1,0.3333333333333333,1,1,1295,4-05461-10,4-05461-10 | 4-05461-04 | 4-05461-01 | 4-05461-06 | 4-05461-09 | SAL7999 | SUS1303 | ΜΕΤ81603 | 347-88031 | 347-76074
fixed_40_10_10_40,52308,IT19764,MS0502bw-06,3,4,medium,238,0,0.0,0,1,1265,IT9423,IT9423 | G40892 | IT90789 | lr10320 | HMB69 | lr10620 | HLW78 | HLW81 | HLW80 | HLW76
fixed_40_10_10_40,52310,FXC66,HGB91,2,1,rare,48,0,0.0,1,1,1311,CHG19,CHG19 | 448.1.588294 | DT83320 | IT97637 | 29.4488-BU | 29.4488-RE | 29.4488-YE | DT30941 | GMF06 | DFP20
fixed_40_10_10_40,52316,KON169490,KON949061,2,3,medium,7,1,0.14285714285714285,1,1,1232,KON165423,KON165423 | KON948767 | KON949801 | KON843864 | KON942468 | KON746837tn | KON949061 | KON746837mm | KON949658 | KON740958
fixed_40_10_10_40,52325,IT16952,ΚΑ112783,2,1,rare,0,0,0.0,0,0,1303,IT16951,IT16951 | IT11214 | IT8905 | 237.617073 | 29.2129MI | IT09430 | IT91164 | IT11207 | IT6105 | DTDTS-3117
fixed_40_10_10_40,52333,18/51072-DAKAR,18/51072-SX,2,19,popular,1,1,1.0,1,1,1142,18/51072-SX,18/51072-SX | 29.802-12M | 18/36100 | 18/26028 | 18/22126 | 18/32086 | 18/22124 | 18/32102-BU | 18/43100 | 18/25097
fixed_40_10_10_40,52340,DTTY37241,43574,2,6,medium,799,0,0.0,0,1,1300,DTTY37198,DTTY37198 | DTTY42331 | DTTY35110 | DTTY37236 | DTTY36854 | DTTY41206 | DTTY41203 | DTTY42269 | DTTY36208 | DTTY36283
fixed_40_10_10_40,52378,448.1.589256,IT90147,3,65,popular,3,1,0.3333333333333333,1,1,1317,448.1.588294,448.1.588294 | 448.1.589215 | IT90147 | 29.2129MI | 18/31801 | 29.3699-8RC | 29.2169RC-GN | HD-8913-BU | 4-05514 | 29.7215K
fixed_40_10_10_40,52383,448.1.588294,448.1.589256,2,29,popular,1,1,1.0,1,1,1322,448.1.589256,448.1.589256 | DT83320 | FXC66 | 448.1.589215 | GGM05 | 6054918 | 4-05760-OR | SX.20.180.0003 | K5904 | EN017326
fixed_40_10_10_40,52400,IT8905,520129,2,2,rare,110,0,0.0,0,1,1265,29.628-89,29.628-89 | TB120471 | 819-98831 | 4-05774 | DT5708ES | 4-05121 | lr10436 | 4-05918 | GVG37 | 29.008-975
fixed_40_10_10_40,52405,G36929,50-20210,2,3,medium,60,0,0.0,1,1,1344,29.7917TSC,29.7917TSC | 29.1188-51FR | 29.6802G | 29.4488-YE | GCT95 | 4-05020 | 29.1188-52FR | 29.4488-BU | 29.4488-RE | 29.998-49
fixed_40_10_10_40,52410,HGX01,HJR70,2,1,rare,66,0,0.0,1,1,1286,HNL54,HNL54 | 29.4488-YE | FBP42 | DYY41 | DRH43 | FVT24 | FPV17 | FXK48 | DKK08 | DKK07
fixed_40_10_10_40,52424,IT16952,IT16951,2,138,popular,1,1,1.0,1,1,1303,IT16951,IT16951 | IT11214 | IT8905 | 237.617073 | 29.2129MI | IT09430 | IT91164 | IT11207 | IT6105 | DTDTS-3117
fixed_40_10_10_40,52429,4-05113,GWT24,2,1,rare,0,0,0.0,0,0,1318,ΜΕΤ81874,ΜΕΤ81874 | DTPEP-3411-FO | 29.88612 | 4-04322 | BW52190 | 4-05112 | 11-52126R | 11-50952 | 35/798 | 4-05020
fixed_40_10_10_40,52434,IT14104,IT9002,2,10,medium,0,0,0.0,0,0,1300,IT14185,IT14185 | 231.009111 | 1023-62690 | 231.009104 | IT6160 | 108554201 | 108155536 | FK54813C | DTJH27596 | MAP845720
fixed_40_10_10_40,52450,570-92231-02,779-90246,2,1,rare,11,0,0.0,1,1,1261,339-54141,339-54141 | 570-92231-01 | 553-31238 | 553-64238 | 570-49245-W | 571-50204 | 346-96031 | 346-92031 | 346-93031 | 557-25235
fixed_40_10_10_40,52457,MAP852001,IT16951,3,138,popular,0,0,0.0,0,0,1300,MAP851730,MAP851730 | 820-92772 | MAP851722 | 231.310897 | 108215680 | 43574 | 108215679 | 29.999-105 | MAP511710 | 341-58581
