feature,standardized_coefficient,absolute_coefficient
product2vec_score,-0.6773072676720608,0.6773072676720608
log_candidate_recency_days,-0.620326270930572,0.620326270930572
log_pair_count,0.4091054795364515,0.4091054795364515
same_category,0.3296591037299744,0.3296591037299744
source_copurchase,-0.30215254037932066,0.30215254037932066
source_text,-0.28062550901137945,0.28062550901137945
source_product2vec,0.24891414787121505,0.24891414787121505
copurchase_score,0.24198842958649194,0.24198842958649194
metadata_x_content_need,-0.2385592319261659,0.2385592319261659
product2vec_x_reliability,-0.20976580059046346,0.20976580059046346
metadata_score,0.20649565850309753,0.20649565850309753
copurchase_confidence,0.13954928394285582,0.13954928394285582
log_candidate_order_count,0.13908539545616777,0.13908539545616777
candidate_source_count,-0.12993114738203526,0.12993114738203526
copurchase_x_reliability,-0.11976410523528477,0.11976410523528477
same_hero,0.11775218514441856,0.11775218514441856
same_gender,0.0939452627584837,0.0939452627584837
same_age,-0.08311731984858031,0.08311731984858031
missing_behavioral,0.07707128472199241,0.07707128472199241
seed_behavioral_reliability,-0.058352616361489196,0.058352616361489196
text_x_content_need,-0.04888064185410858,0.04888064185410858
log_candidate_graph_degree,-0.028730780138393062,0.028730780138393062
same_brand,-0.02576673702812543,0.02576673702812543
text_score,-0.02566335126882437,0.02566335126882437
log_seed_recency_days,0.021479894129343723,0.021479894129343723
source_metadata,0.01825069555579055,0.01825069555579055
missing_content,0.017096170385771745,0.017096170385771745
log_seed_order_count,0.00838596772848878,0.00838596772848878
