order_id,hit_at_k_fixed,target_rank_fixed,hit_at_k_logistic,target_rank_logistic
52243,0,0,0,0
52257,0,0,0,0
52260,1,1,0,13
52276,0,0,0,0
52280,1,3,0,786
52308,0,238,0,242
52310,0,48,0,446
52316,1,7,0,490
52325,0,0,0,0
52333,1,1,0,24
52340,0,799,0,880
52378,1,3,1,1
52383,1,1,0,50
52400,0,110,0,214
52405,0,60,0,14
52410,0,66,0,18
52424,1,1,1,3
52429,0,0,0,0
52434,0,0,0,0
52450,0,11,0,1034
52457,0,0,0,0
52496,0,236,0,112
52513,0,0,0,0
52515,1,5,0,121
52517,1,5,0,121
52518,0,0,0,0
52536,1,4,0,1027
52537,1,1,0,13
52548,0,71,0,987
52552,1,1,1,3
52555,0,0,0,0
52562,1,1,1,3
52565,1,1,0,13
52584,0,0,0,0
52586,1,1,0,13
52610,0,91,0,305
52624,0,165,0,163
52634,0,18,0,715
52714,1,1,0,970
52725,1,5,0,514
52735,1,1,0,1221
52740,0,63,0,29
52746,0,83,0,745
52748,1,1,1,3
52778,1,1,0,13
52790,0,27,0,902
52827,0,0,0,0
52833,0,18,0,95
52844,1,2,0,1077
52849,1,4,0,27
52854,0,60,0,487
52915,0,12,0,454
52944,0,307,0,861
52946,1,2,0,52
52948,0,53,0,32
52973,0,33,0,13
52979,0,0,0,0
52986,1,7,0,854
53014,1,1,0,13
53069,1,7,0,1013
53073,1,1,0,13
53082,1,1,0,591
53117,0,37,0,166
53119,1,9,0,291
53127,0,744,0,99
53149,0,399,0,33
53191,0,238,0,314
53209,0,0,0,0
53267,0,30,0,466
53274,0,35,0,984
