model,segment_type,segment,queries,hit_rate_at_k,mrr_at_k,mean_candidate_cross_entropy
base,popularity,medium,35,0.5142857142857142,0.2042063492063492,12.928682755584287
base,popularity,popular,3,0.0,0.0,27.631021115928547
base,popularity,rare,37,0.10810810810810811,0.03453453453453453,23.22097115576701
base,basket_size,large,6,0.6666666666666666,0.2708333333333333,11.950896676509165
base,basket_size,medium,20,0.35,0.07722222222222222,18.267576755384287
base,basket_size,small,49,0.22448979591836735,0.1072562358276644,19.54114239571172
metadata_enhanced,popularity,medium,35,0.42857142857142855,0.10797052154195012,12.994321703775931
metadata_enhanced,popularity,popular,3,0.0,0.0,27.631021115928547
metadata_enhanced,popularity,rare,37,0.13513513513513514,0.0474045474045474,22.601667433923687
metadata_enhanced,basket_size,large,6,0.6666666666666666,0.2626984126984127,12.016136058124395
metadata_enhanced,basket_size,medium,20,0.4,0.06936507936507937,18.29722982917738
metadata_enhanced,basket_size,small,49,0.16326530612244897,0.052437641723356014,19.100298063322974
