order_id,cart_skus,target_sku,cart_size,target_train_orders,popularity_segment,basket_segment,top_prediction,top_k_skus,target_rank,hit_at_k,reciprocal_rank_at_k,candidate_cross_entropy,target_Product Name,target_Κατηγορίες προϊόντων,target_Προϊόν Ηλικία,predicted_Product Name,predicted_Κατηγορίες προϊόντων,predicted_Προϊόν Ηλικία,age_mismatch,category_mismatch
56401,346-02580,346-02400,1,4,medium,small,GTF89,GTF89 | 0562041 | DKB56 | EK7501 | 349-66031 | 346-02400 | 341-43400 | MAP845432 | DTDTS-3117 | DXC93,6,1,0.16666666666666666,4.300372143597648,GIM ΤΕΤΡΑΔΙΟ 17X25CM MIRACULOUS LADYBUG,Σχολικά>Χαρτικά>ΤΕΤΡΑΔΙΑ>Τετράδια με σχέδια,από 3 ετών,Barbie Γοργόνα Μεταμόρφωση Ουράνιο Τόξο,Κούκλες - Playset - Λούτρινα>BARBIE,από 3 ετών,False,True
59510,HLW71 | HLW73 | HLW76,HLW81,3,1,rare,medium,HLW74,HLW74 | HLW75 | HLW77 | HNJ55 | 606035 | HPG69 | HLW70 | HLW78 | HLW81 | HLW80,9,1,0.1111111111111111,4.4246058060994695,Disney Princess μίνι κούκλες - HLW81 Mulan,Κούκλες - Playset - Λούτρινα>DISNEY ΠΡΙΓΚΙΠΙΣΣΕΣ,Unknown,Disney Princess μίνι κούκλες - HLW74 Pocahontas,Κούκλες - Playset - Λούτρινα>DISNEY ΠΡΙΓΚΙΠΙΣΣΕΣ,Unknown,False,False
56964,KON167526 | KON186428 | UGD011175,UGD010049,3,1,rare,medium,KON182697,KON182697 | KON949658 | UGD010593 | UGD010069 | UGD010260 | KON185032 | UGD010259 | KON167571 | KON180679 | KON949061,0,0,0.0,27.631021115928547,Ultimate Guard Flexxfolio 360 - Μαύρο,Επιτραπέζια>Trading Card Game,από 6 ετών,Yu-Gi-Oh! Legendary Decks II Unlimited Reprint 2024,Επιτραπέζια>Trading Card Game>Yu-Gi-Oh! TCG,από 6 ετών,False,True
56065,369-00100,369-00074,1,2,rare,small,369-00140,369-00140 | 369-00074 | 575-40232 | 369-00031 | ΜΕΤ81088 | EN69496 | EN070274 | 100422 | 530-08464 | 341-43400,2,1,0.5,4.000189642514407,GIM Naruto Τσάντα Trolley,Σχολικά>Τσάντες>Τσάντα δημοτικού ήρωες,από 3 ετών,GIM Naruto Βαρελάκι,Σχολικά>Τσάντες>Κασετίνα σχολική,από 3 ετών,False,True
57899,HCF68,GYJ02,1,1,rare,small,600027-24-BR,600027-24-BR | G40543 | CL141 | HHH27 | CL129 | CA158 | DTDSP-733-AC | GFJ11 | GJD81 | HRD35,0,0,0.0,27.631021115928547,Enchantimals Royals Γοργόνα,Κούκλες - Playset - Λούτρινα>Κούκλες διάφορες,από 4 ετών,Μηνιαίο Πλάνο 2024 με Κάλυμμα 21Χ29 - Καφέ,Σχολικά>Χαρτικά>Ημερολόγια ετήσια,Unknown,False,True
59498,SUS2245 | ΜΕΤ83214,ΜΕΤ83812,2,1,rare,medium,SUS2002,SUS2002 | ΒΚΜ13155 | 930998 | SUS2123 | SUS2235 | EN101628 | MAP907057 | MAP845001 | MAP844612 | HKR33,0,0,0.0,27.631021115928547,Σ' αγαπώ λιγάκι... ως τον ουρανό!,ΒΙΒΛΙΑ>Βιβλία Εικονογραφημένα,από 3 ετών,Στο σπίτι,ΒΙΒΛΙΑ>Βιβλία χαρτονέ,από 3 ετών,False,True
57768,0564607,341-43400,1,2,rare,small,OC01424,OC01424 | 29.1403-YE | 0564608 | NC5474 | MAP846808 | EN037532 | 580812EUC | 29.1226KM | ΚΑ114428 | ΒΚΜ13737,0,0,0.0,27.631021115928547,GIM ΤΕΤΡΑΔΙΟ 17X25CM CARS,Σχολικά>Χαρτικά>ΤΕΤΡΑΔΙΑ>Τετράδια με σχέδια,από 3 ετών,Disney Stitch Σετ Ομορφιάς - Σακίδιο,Παιχνίδια Ρόλων - Μίμησης>Σετ ομορφιάς,από 3 ετών,False,True
56971,HCG95,HJW72,1,6,medium,small,GWV20,GWV20 | GWV15 | HBJ31 | HCB47 | HJW72 | GWV19 | GWV14 | GWV17 | GWV16 | GWV00,5,1,0.2,4.17465113698305,Little People - Φιγούρες 12 Σχέδια - HJW72 Casual,Δημιουργική απασχόληση>Προσχολικά - εκπαιδευτικά,Unknown,Little People - Φιγούρες 12 Σχέδια - GWV20 Eddie,Δημιουργική απασχόληση>Προσχολικά - εκπαιδευτικά,Unknown,False,False
59893,GYN26 | HPD45,HLW77,2,2,rare,medium,HRB16,HRB16 | DTPG0187713 | HPD46 | HFJ93 | GRR44 | HJW12 | HGB89 | ΜΕΤ81982 | 9786180111873 | 176-08680,0,0,0.0,27.631021115928547,Disney Princess μίνι κούκλες - HLW77 Ariel,Κούκλες - Playset - Λούτρινα>DISNEY ΠΡΙΓΚΙΠΙΣΣΕΣ,Unknown,Χήνα η Αγκαλίτσα,"Βρεφικά Παιχνίδια>ΒΡΕΦΙΚΑ ΠΑΙΧΝΙΔΙΑ (0-6 μηνών),Κούκλες - Playset - Λούτρινα>Κουκλάκια Λούτρινα",από νεογέννητο,False,True
59533,KON185582,KON164754,1,2,rare,small,KON185032,KON185032 | KON185216 | KON184264 | 40570 | MAP936010 | MAP834013 | MAP593501 | 176-08166 | DXF82 | 176-07930,0,0,0.0,27.631021115928547,Yu-Gi-Oh! Battles of Legend: Monstrous Revenge Booster (5 cards),Επιτραπέζια>Trading Card Game>Yu-Gi-Oh! TCG,από 6 ετών,Yu-Gi-Oh! Legacy Of Destruction Tuckbox (27 cards),Επιτραπέζια>Trading Card Game>Yu-Gi-Oh! TCG,από 6 ετών,False,False
57880,BL-G2-10L | BL-G2-7B,MAP106711,2,1,rare,medium,HRK58,HRK58 | 16-01833 | FXH13 | HNW43 | G40890 | DTTT18424A | DTD100-9400-1 | 6061 | HNW41 | HRP97,0,0,0.0,27.631021115928547,Γόμα Technic mini Ultra,Σχολικά>Γραφική ύλη>Γόμες,από 3 ετών,Chelsea Pop Reveal,Κούκλες - Playset - Λούτρινα>BARBIE,από 3 ετών,False,True
58069,GWV16 | GWV17 | GWV19 | GWV20 | HCG95 | HJW71 | ΜΙΝ61269 | ΜΙΝ61270,ΜΙΝ61268,8,1,rare,large,GWV15,GWV15 | HCB47 | HBJ31 | GWV14 | GWV00 | HJW72 | GWV18 | GWV21 | POK857256 | lr1250,0,0,0.0,27.631021115928547,O Πινόκιο φοβάται το σκοτάδι - Disney Baby,ΒΙΒΛΙΑ>Βιβλία Συμπεριφοράς,από 2 ετών,Little People - Φιγούρες 12 Σχέδια - GWV15 Man in T-shirt,Δημιουργική απασχόληση>Προσχολικά - εκπαιδευτικά,Unknown,False,True
58410,1081546-GD,1081546-RB,1,3,medium,small,1081546-RB,1081546-RB | Μ1-0-031 | MAP119001 | 743633 | 743636 | 11-153 | 0563110 | SW-FL-SV | MAP018113-L | 2730-PB,1,1,1.0,4.211662185605544,Μαρκαδόρος υπογράμμισης 5mm Faber Castell Μetallic - Ruby,Σχολικά>Γραφική ύλη>Μαρκαδόροι υπογράμμισης (fluo),Unknown,Μαρκαδόρος υπογράμμισης 5mm Faber Castell Μetallic - Ruby,Σχολικά>Γραφική ύλη>Μαρκαδόροι υπογράμμισης (fluo),Unknown,False,False
