base_sku,recommended_sku,product2vec_score,Product Name,Κατηγορίες προϊόντων,Μάρκες,Προϊόν Ηλικία,Προϊόν Ήρωας,Προϊόν Φύλλο,sex_p,hero_p,age_p
IT16951,IT22272,0.9859927316253907,Φορητός Εκτυπωτής Φωτογραφιών Bluetooth,"Δημιουργική απασχόληση>Επιστημονικά - εκπαιδευτικά,Πολυμέσα - Games>Φωτογραφικές μηχανές",Izoxis,από 6 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 6 ετών
IT16951,KON740958,0.9397204608858233,Yu-Gi-Oh! Speed Duel Ultimate Predators Starter Deck,Επιτραπέζια>Trading Card Game,KONAMI,από 6 ετών,Yu-Gi-Oh!,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Yu-Gi-Oh!,από 6 ετών
IT16951,IT22653,0.9387759120504029,Σκηνή Σπιτάκι - Ροζ Κάστρο Πριγκίπισσας με φώτα Led,Παιδικό δωμάτιο>Σκηνές παιδικές - σπιτάκια,Kruzzel,από 3 ετών,Unknown,Κορίτσι,Κορίτσι,Unknown,από 3 ετών
IT16951,IT09430,0.938382337095722,Ξύλινα μαγνητικά XXL φρούτα και λαχανικά σε τελάρο 34 τεμ.,Παιχνίδια Ρόλων - Μίμησης>Κουζινικά παιχνίδια,Iso Trade,από 3 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 3 ετών
IT16951,GTN58-lampada,0.9354932211001528,Barbie Ανθοπωλείο - Δώρο Λαμπάδα,"Λαμπάδες>Παιχνιδολαμπάδες>BARBIE,Κούκλες - Playset - Λούτρινα>BARBIE",MATTEL,από 3 ετών,BARBIE,Κορίτσι,Κορίτσι,BARBIE,από 3 ετών
IT16951,KON182697,0.9350210980277153,Yu-Gi-Oh! Legendary Decks II Unlimited Reprint 2024,Επιτραπέζια>Trading Card Game>Yu-Gi-Oh! TCG,KONAMI,από 6 ετών,Yu-Gi-Oh!,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Yu-Gi-Oh!,από 6 ετών
IT16951,DTJH26093,0.9349225827660601,Περονοφόρο Ανυψωτικό Κλαρκ Forklift 1:50,Αυτοκινητάκια - Μοτό - Τρενάκια>Μεταλλικά οχήματα,JOHNTOY,από 3 ετών,Unknown,Αγόρι,Αγόρι,Unknown,από 3 ετών
IT16951,IT17489,0.9273999127461552,Παιδική Σκηνή - Σπιτάκι με Φώτα 130x90 εκ.,Παιδικό δωμάτιο>Σκηνές παιδικές - σπιτάκια,Iso Trade,από 2 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 2 ετών
IT16951,IT14104,0.9264861982451966,Σετ 40 Μαρκαδόροι Ζωγραφικής με Διπλή Μύτη,Σχολικά>Ζωγραφική>Μαρκαδόροι ζωγραφικής,MAALEO,από 3 ετών,Unknown,Αγόρι & Κορίτσι,Αγόρι & Κορίτσι,Unknown,από 3 ετών
IT16951,IT6104,0.9264304752806947,Σκηνή - Πριγκιπικό Παλάτι ροζ 135x140 εκ.,Παιδικό δωμάτιο>Σκηνές παιδικές - σπιτάκια,Iso Trade,από 3 ετών,Unknown,Κορίτσι,Κορίτσι,Unknown,από 3 ετών
