model,metric,point_estimate,lower_95,upper_95,bootstrap_samples
global_popularity,hit_rate_at_k,0.09210526315789473,0.039473684210526314,0.15789473684210525,2000
global_popularity,recall_at_k,0.09210526315789473,0.039473684210526314,0.15789473684210525,2000
global_popularity,mrr_at_k,0.02929197994987469,0.006813909774436089,0.06273496240601503,2000
category_popularity,hit_rate_at_k,0.17105263157894737,0.09210526315789473,0.2631578947368421,2000
category_popularity,recall_at_k,0.17105263157894737,0.09210526315789473,0.2631578947368421,2000
category_popularity,mrr_at_k,0.06614974937343358,0.027005012531328323,0.11636121553884705,2000
copurchase,hit_rate_at_k,0.23684210526315788,0.14473684210526316,0.3292763157894719,2000
copurchase,recall_at_k,0.23684210526315788,0.14473684210526316,0.3292763157894719,2000
copurchase,mrr_at_k,0.12850877192982454,0.0714857456140351,0.1929879385964912,2000
product2vec,hit_rate_at_k,0.18421052631578946,0.10526315789473684,0.2631578947368421,2000
product2vec,recall_at_k,0.18421052631578946,0.10526315789473684,0.2631578947368421,2000
product2vec,mrr_at_k,0.11666666666666665,0.05921052631578947,0.18399671052631578,2000
metadata,hit_rate_at_k,0.2236842105263158,0.13157894736842105,0.3157894736842105,2000
metadata,recall_at_k,0.2236842105263158,0.13157894736842105,0.3157894736842105,2000
metadata,mrr_at_k,0.08914473684210526,0.041737938596491234,0.14806377923976607,2000
tfidf_name,hit_rate_at_k,0.3157894736842105,0.21052631578947367,0.42105263157894735,2000
tfidf_name,recall_at_k,0.3157894736842105,0.21052631578947367,0.42105263157894735,2000
tfidf_name,mrr_at_k,0.17656641604010026,0.10638236215538849,0.2541228070175437,2000
frozen_hybrid,hit_rate_at_k,0.3157894736842105,0.21052631578947367,0.42105263157894735,2000
frozen_hybrid,recall_at_k,0.3157894736842105,0.21052631578947367,0.42105263157894735,2000
frozen_hybrid,mrr_at_k,0.16519423558897242,0.09854949874686719,0.24011983082706764,2000
tuned_four_signal,hit_rate_at_k,0.40789473684210525,0.3026315789473684,0.5134868421052614,2000
tuned_four_signal,recall_at_k,0.40789473684210525,0.3026315789473684,0.5134868421052614,2000
tuned_four_signal,mrr_at_k,0.21439536340852128,0.14277138157894734,0.29038494674185455,2000
