model,segment,queries,hit_rate_at_k,mrr_at_k,candidate_recall
category_popularity,medium,24,0.16666666666666666,0.031646825396825395,0.5833333333333334
category_popularity,popular,15,0.6,0.2845238095238095,0.6
category_popularity,rare,37,0.0,0.0,0.08108108108108109
copurchase,medium,24,0.08333333333333333,0.0625,0.08333333333333333
copurchase,popular,15,0.4,0.20444444444444446,0.4
copurchase,rare,37,0.2702702702702703,0.14054054054054055,0.2702702702702703
frozen_hybrid,medium,24,0.08333333333333333,0.08333333333333333,0.375
frozen_hybrid,popular,15,0.4666666666666667,0.29404761904761906,0.6
frozen_hybrid,rare,37,0.40540540540540543,0.1660553410553411,0.6216216216216216
global_popularity,medium,24,0.0,0.0,0.0
global_popularity,popular,15,0.4666666666666667,0.1484126984126984,1.0
global_popularity,rare,37,0.0,0.0,0.0
metadata,medium,24,0.041666666666666664,0.004629629629629629,0.4166666666666667
metadata,popular,15,0.2,0.2,0.4
metadata,rare,37,0.35135135135135137,0.09902402402402403,0.6216216216216216
product2vec,medium,24,0.041666666666666664,0.041666666666666664,0.041666666666666664
product2vec,popular,15,0.26666666666666666,0.26666666666666666,0.6
product2vec,rare,37,0.24324324324324326,0.1045045045045045,0.2972972972972973
tfidf_name,medium,24,0.20833333333333334,0.09970238095238095,0.3333333333333333
tfidf_name,popular,15,0.26666666666666666,0.26666666666666666,0.4
tfidf_name,rare,37,0.40540540540540543,0.1898970398970399,0.5945945945945946
tuned_four_signal,medium,24,0.25,0.12574404761904762,0.375
tuned_four_signal,popular,15,0.4666666666666667,0.3333333333333333,0.6
tuned_four_signal,rare,37,0.4864864864864865,0.22368082368082365,0.6486486486486487
