order_id,seed_sku,target_sku,held_out_basket_size
53352,K0888,lr11274,2
53358,ΜΕΤ83991,SUS1447,2
53371,ΜΙΝ61274,0622328,3
53381,EN097062,EN097061,2
53391,21302XS-GN,21302XS-PI,2
53401,BW98001,BW98022,2
53402,0484196,GJP71,2
53407,HPX25,MAP846222,2
53414,EK232-02,SW-PT-FW,2
53419,MD0502-100,MD0502-105,2
53443,GRR44,HJW12,3
53446,21300-TR,21300-ΒΒ,2
53458,237.617073,IT16952,2
53460,HRP97,GHK23,3
53464,10199669,EGB56703,3
53465,HHH27,G40543,2
53478,MAP851722,BXC-V7L,7
53479,IT16951,139158200,3
53480,AV60787,IT22272,5
53490,POK852756-U,POK852756-PO,2
53510,HRP97,MAP852001,3
53512,lr10074,820-27392,2
53516,lr11274,DT45007405,2
53553,346-02400,0562041,2
53561,337-04413,231.6366A,2
53571,43574,IT16952,2
53587,MAP741817,776-77246,3
53610,571-50265-L,0584557-PB,2
53621,346-02400,0562041,3
53628,IT16952,IT16951,2
53646,0622327,0621489,2
53650,ΜΕΤ81863,109-14006,2
53708,MAP741817,EPF507-PB,2
53711,176-08253,176-08148,2
53732,POK852572,UGD010069,2
53746,HLW74,HLW73,2
53771,519-5129,FWG22,3
53785,lr3315,lr7565,3
53828,ΜΕΤ83566,lr7027,3
53866,IT22653,820-55713,3
53997,HBN63,HB-P1802,2
54023,930998,MAP844612,3
54042,ΜΕΤ83682,18/32086,3
54055,MD0502-100,4-05964,2
54190,IT16951,IT22272,2
54197,IT16951,IT16952,2
54218,IT16951,IT22272,2
54312,G40543,IT90789,3
54371,0562081,IT14104,3
54394,18/51072-SX,18/51072-19,2
54401,ΚΑ114585,293-054,3
54405,ΜΕΤ81863,ΜΕΤ82236,2
54425,ΜΙΝ61109,ΜΙΝ61258,3
54456,IT005071,IT90789,2
54472,GWV19,GWV20,7
54483,GWV17,GWV00,4
54518,HBJ31,GWV19,3
54557,IT22653,EN081819,2
54591,UGD010249,UGD010605,2
54614,UGD010793,KON161753,2
54617,GWV00,HJW72,2
55270,IT22653,0621466,2
55292,21300-PI,21300-BK,3
55377,GWV19,GWV17,3
55410,GWV14,HBJ31,5
55414,KON165423,KON949269,2
55428,HBJ31,HJW72,4
55456,43574,108182714,2
55491,S260133,DRC00,2
55620,21302XS-OR,21302XS-BU,2
55632,HB-P1802,4WD05-RED,2
55720,ΜΙΝ61258,IT22272,2
55729,IT17489,IT22653,2
55806,108215680,108583213,2
55980,176-06207,IT22653,2
56036,GWF57,GWF62,5
